make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
GMC,Terrain AWD,26.2618,Automatic,9,AWD,1.5,4,Sm SUV,Y,Turbo,Regular,None,Y
GMC,Terrain AWD,23,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC60 AWD,22.8409,Automatic,8,AWD,2,4,Sm SUV,Y,Super+Turbo,Premium,None,Y
Volvo,XC40 AWD,25.0718,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Volvo,XC90 FWD,24.5182,Automatic,8,FWD,2,4,Std SUV,Y,Turbo,Premium,None,Y
Ford,Explorer AWD,20.4611,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Ford,Explorer FFV AWD,18.7074,Automatic,10,PT 4WD,3.3,6,Std SUV,Y,Natural,Regular,FFV,N
Mercedes-Benz,AMG GT Coupe,18.1314,Manual,7,RWD,4,8,Two Seater,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG GT Roadster,18.1314,Manual,7,RWD,4,8,Two Seater,Y,Turbo,Premium,None,Y
Buick,Encore FWD,26.9819,Automatic,6,FWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Chevrolet,Trax FWD,28.0161,Automatic,6,FWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Buick,Encore AWD,25.8831,Automatic,6,AWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Chevrolet,Trax AWD,25.8831,Automatic,6,AWD,1.4,4,Sm SUV,N,Turbo,Regular,None,N
Volvo,XC60 AWD,22.9931,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Buick,Enclave FWD,21.1648,Automatic,9,FWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Chevrolet,Traverse FWD,21.1648,Automatic,9,FWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Buick,Enclave AWD,20.0162,Automatic,9,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Chevrolet,Traverse AWD,20.0908,Automatic,9,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
